Crime Against Category,Offense,Sector,Beat,MCPP,Time,Day,Year
2,53,22,48,UNIVERSITY,1902,4,0
2,53,14,29,DOWNTOWN COMMERCIAL,1478,4,0
2,53,14,30,SLU/CASCADE,1587,4,0
2,53,14,31,DOWNTOWN COMMERCIAL,1443,4,0
2,53,8,11,CAPITOL HILL,1699,4,0
2,53,18,41,SLU/CASCADE,1606,4,0
2,51,8,12,CAPITOL HILL,1955,4,0
2,12,8,13,FIRST HILL,2008,4,0
2,53,5,2,BALLARD SOUTH,1699,4,0
2,53,18,41,QUEEN ANNE,1699,4,0
2,53,22,49,UNIVERSITY,1562,4,0
2,50,12,23,DOWNTOWN COMMERCIAL,302,5,0
2,46,5,2,BALLARD SOUTH,593,5,0
2,33,14,31,DOWNTOWN COMMERCIAL,625,4,0
3,13,6,5,CAPITOL HILL,0,5,0
2,1,12,24,DOWNTOWN COMMERCIAL,0,5,0
2,46,8,12,CAPITOL HILL,27,5,0
3,56,8,11,CAPITOL HILL,1966,4,0
2,33,10,17,FIRST HILL,0,4,0
2,9,18,40,QUEEN ANNE,0,5,0
2,51,22,49,UNIVERSITY,1428,2,0
2,33,13,27,NORTHGATE,41,4,0
2,51,15,33,NORTHGATE,984,1,0
3,56,15,33,NORTHGATE,1360,4,0
3,15,13,27,NORTHGATE,1051,4,0
2,46,15,33,NORTHGATE,0,4,0
2,12,11,22,ROOSEVELT/RAVENNA,1223,4,0
2,54,11,22,ROOSEVELT/RAVENNA,0,2,0
2,46,14,31,DOWNTOWN COMMERCIAL,1364,4,0
2,46,22,50,ROOSEVELT/RAVENNA,1277,4,0
1,45,7,9,SLU/CASCADE,1339,6,0
2,51,8,13,FIRST HILL,1135,4,0
2,53,5,3,BALLARD SOUTH,2016,3,0
2,53,22,48,UNIVERSITY,0,4,0
2,53,5,2,BALLARD SOUTH,1587,3,0
2,53,8,13,CAPITOL HILL,2061,3,0
2,53,18,40,QUEEN ANNE,378,4,0
2,51,14,30,DOWNTOWN COMMERCIAL,1057,4,0
2,53,8,12,CAPITOL HILL,1861,2,0
2,46,13,27,NORTHGATE,945,4,0
2,53,5,2,BALLARD SOUTH,1622,3,0
2,53,5,3,BALLARD SOUTH,1650,2,0
2,53,8,12,FIRST HILL,1761,3,0
2,1,5,2,BALLARD SOUTH,1650,1,0
2,1,8,11,CAPITOL HILL,1339,1,0
2,53,5,2,BALLARD SOUTH,1339,3,0
2,19,8,11,CAPITOL HILL,741,3,0
2,9,14,30,DOWNTOWN COMMERCIAL,741,3,0
2,12,22,49,UNIVERSITY,1806,3,0
2,53,12,23,DOWNTOWN COMMERCIAL,1522,1,0
2,51,8,12,CAPITOL HILL,1715,3,0
2,23,8,12,CAPITOL HILL,1699,3,0
2,53,6,5,CAPITOL HILL,1606,3,0
2,53,5,3,BALLARD SOUTH,1522,2,0
2,1,22,48,UNIVERSITY,1244,3,0
2,1,22,49,UNIVERSITY,834,6,0
2,51,13,27,NORTHGATE,1806,2,0
2,51,10,17,FIRST HILL,143,3,0
2,46,18,41,QUEEN ANNE,168,4,0
3,13,14,30,DOWNTOWN COMMERCIAL,1902,3,0
2,46,13,27,NORTHGATE,1587,3,0
2,38,13,26,NORTHGATE,1909,3,0
3,41,15,34,NORTHGATE,1837,3,0
2,33,8,11,CAPITOL HILL,1522,3,0
2,12,12,23,DOWNTOWN COMMERCIAL,1576,3,0
2,54,15,34,NORTHGATE,143,3,0
3,41,15,34,NORTHGATE,1661,3,0
2,46,7,9,SLU/CASCADE,1606,3,0
2,12,22,48,UNIVERSITY,1391,3,0
2,53,8,12,CAPITOL HILL,1076,3,0
